converted_alias	mock_rep1	mock_rep2	mock_rep3	sars_cov_rep1	sars_cov_rep2	sars_cov_rep3	p_value
ENSG00000101871	3.868	4.318	4.434	3.648	3.545	3.639	0.02748864034556534
ENSG00000101911	6.538	6.221	7.507	5.796	5.456	4.706	0.04624523524303165
ENSG00000198759	4.076	4.531	5.232	2.723	2.986	3.211	0.010845313402196214
ENSG00000176896	0.4987	0.4453	0.4887	0.1727	0.3441	0.3322	0.0278944336741379
ENSG00000008086	1.154	1.227	1.297	1.036	1.003	1.09	0.019483774221572697
ENSG00000147010	15.16	13.48	14.45	16.74	17.64	19.49	0.019039767718182228
ENSG00000184368	0.7567	0.7216	0.684	0.1847	0.3578	0.2597	0.001127768957750204
ENSG00000264566	1.308	0.69	1.851	0.0	0.0	0.0	0.01869068800082266
ENSG00000102174	1.055	0.9602	1.404	0.7067	0.6632	0.6829	0.02828320241685628
ENSG00000130066	414.1	401.0	418.3	461.8	501.9	501.3	0.005631818622902791
ENSG00000047597	0.01199	0.006328	0.02547	0.03375	0.03362	0.04385	0.027286747242463452
ENSG00000147041	0.97	0.9449	0.9356	0.636	0.514	0.5334	0.0005798866911892655
ENSG00000183337	3.78	3.625	3.351	3.295	3.036	3.063	0.03887565673537395
ENSG00000180182	6.624	6.349	7.303	5.561	6.031	5.917	0.04364818096273967
ENSG00000124486	15.47	14.83	15.36	12.99	14.3	13.84	0.02492500854032892
ENSG00000189221	22.13	20.01	22.64	23.94	27.41	25.92	0.03188939393017237
ENSG00000069535	0.6223	0.7271	0.4247	0.3002	0.2991	0.1369	0.029142999394026335
ENSG00000207725	1.189	1.255	1.683	0.6691	0.6666	0.4576	0.010208263466682728
ENSG00000102225	17.44	17.76	16.72	20.7	18.68	18.73	0.04804033756957732
ENSG00000126767	5.602	5.179	5.392	5.02	4.875	4.769	0.02403927374500103
ENSG00000171489	0.0	0.0	0.0	0.05126	0.05106	0.03505	0.0010381385211766818
ENSG00000094631	5.065	4.959	5.021	5.715	5.519	5.192	0.04163082505548618
ENSG00000102103	18.55	18.83	15.12	21.28	21.34	22.33	0.02868169472578472
ENSG00000068323	21.75	21.38	22.2	23.87	23.42	25.26	0.016195811470359454
ENSG00000102003	0.08062	0.05672	0.1332	0.1513	0.1808	0.1655	0.03501385461161751
ENSG00000247746	0.1922	0.1594	0.1555	0.1082	0.09238	0.1374	0.03273387412612895
